HourDK;WP Prognosis (MWh);Cons. Prognosis (MWh);WP Penetration (MWh);Day-Ahead price (DKK);;;;;
19-07-18 14.00;976;2.349;0,42;395,18;;;;;
19-07-18 15.00;1.014;2.283;0,44;391,46;;;;;
19-07-18 16.00;1.052;2.286;0,46;393,10;;;;;
19-07-18 17.00;1.114;2.360;0,47;411,96;;;;;
19-07-18 18.00;1.170;2.311;0,51;432,31;;;;;
19-07-18 19.00;1.181;2.238;0,53;442,67;;;;;
19-07-18 20.00;1.050;2.168;0,48;435,89;;;;;
19-07-18 21.00;909;2.092;0,43;428,88;;;;;
19-07-18 22.00;819;2.064;0,40;418,59;;;;;
19-07-18 23.00;796;1.912;0,42;386,91;;;;;
20-07-18 00.00;778;1.738;0,45;363,90;;;;;
20-07-18 01.00;765;1.649;0,46;339,90;;;;;
20-07-18 02.00;782;1.643;0,48;331,63;;;;;
20-07-18 03.00;770;1.628;0,47;358,69;;;;;
20-07-18 04.00;784;1.651;0,47;346,01;;;;;
20-07-18 05.00;802;1.682;0,48;340,57;;;;;
20-07-18 06.00;806;1.823;0,44;391,11;;;;;
20-07-18 07.00;839;2.049;0,41;429,42;;;;;
20-07-18 08.00;911;2.232;0,41;431,81;;;;;
20-07-18 09.00;992;2.311;0,43;432,18;;;;;
20-07-18 10.00;1.021;2.362;0,43;425,33;;;;;
20-07-18 11.00;1.006;2.338;0,43;422,57;;;;;
20-07-18 12.00;1.000;2.279;0,44;410,72;;;;;
20-07-18 13.00;1.022;2.239;0,46;403,04;;;;;
20-07-18 14.00;1.036;2.180;0,48;402,74;;;;;
20-07-18 15.00;969;2.131;0,45;410,42;;;;;
20-07-18 16.00;922;2.130;0,43;417,95;;;;;
20-07-18 17.00;885;2.216;0,40;431,66;;;;;
20-07-18 18.00;798;2.193;0,36;436,06;;;;;
20-07-18 19.00;710;2.112;0,34;439,41;;;;;
20-07-18 20.00;591;2.019;0,29;432,18;;;;;
20-07-18 21.00;498;1.937;0,26;418,17;;;;;
20-07-18 22.00;460;1.887;0,24;417,57;;;;;
20-07-18 23.00;446;1.788;0,25;391,86;;;;;
21-07-18 00.00;466;1.639;0,28;375,08;;;;;
21-07-18 01.00;440;1.551;0,28;334,39;;;;;
21-07-18 02.00;423;1.526;0,28;366,51;;;;;
21-07-18 03.00;399;1.516;0,26;365,40;;;;;
21-07-18 04.00;381;1.520;0,25;358,24;;;;;
21-07-18 05.00;366;1.511;0,24;365,25;;;;;
21-07-18 06.00;369;1.577;0,23;376,57;;;;;
21-07-18 07.00;377;1.700;0,22;387,60;;;;;
21-07-18 08.00;399;1.859;0,21;401,02;;;;;
21-07-18 09.00;419;1.967;0,21;410,19;;;;;
21-07-18 10.00;460;2.004;0,23;410,56;;;;;
21-07-18 11.00;524;1.974;0,27;411,23;;;;;
21-07-18 12.00;631;1.961;0,32;407,80;;;;;
21-07-18 13.00;710;1.913;0,37;400,80;;;;;
21-07-18 14.00;759;1.890;0,40;396,92;;;;;
21-07-18 15.00;797;1.872;0,43;394,09;;;;;
21-07-18 16.00;814;1.918;0,42;392,97;;;;;
21-07-18 17.00;809;2.041;0,40;395,88;;;;;
21-07-18 18.00;814;2.039;0,40;410,04;;;;;
21-07-18 19.00;843;1.962;0,43;411,53;;;;;
21-07-18 20.00;817;1.876;0,44;409,59;;;;;
21-07-18 21.00;720;1.817;0,40;407,50;;;;;
21-07-18 22.00;625;1.795;0,35;406,09;;;;;
21-07-18 23.00;590;1.730;0,34;390,81;;;;;
22-07-18 00.00;472;1.599;0,30;392,89;;;;;
22-07-18 01.00;482;1.505;0,32;381,12;;;;;
22-07-18 02.00;500;1.481;0,34;374,78;;;;;
22-07-18 03.00;527;1.478;0,36;371,80;;;;;
22-07-18 04.00;546;1.465;0,37;359,80;;;;;
22-07-18 05.00;546;1.438;0,38;364,87;;;;;
22-07-18 06.00;581;1.491;0,39;373,44;;;;;
22-07-18 07.00;605;1.617;0,37;383,35;;;;;
22-07-18 08.00;664;1.761;0,38;390,95;;;;;
22-07-18 09.00;700;1.857;0,38;394,08;;;;;
22-07-18 10.00;751;1.903;0,39;398,48;;;;;
22-07-18 11.00;812;1.913;0,42;400,27;;;;;
22-07-18 12.00;891;1.912;0,47;396,17;;;;;
22-07-18 13.00;966;1.918;0,50;394,68;;;;;
22-07-18 14.00;1.006;1.922;0,52;392,52;;;;;
22-07-18 15.00;1.034;1.897;0,55;391,25;;;;;
22-07-18 16.00;1.078;1.924;0,56;392,15;;;;;
22-07-18 17.00;1.111;2.055;0,54;393,19;;;;;
22-07-18 18.00;1.123;2.058;0,55;390,28;;;;;
22-07-18 19.00;1.090;2.010;0,54;410,93;;;;;
22-07-18 20.00;983;1.931;0,51;424,41;;;;;
22-07-18 21.00;838;1.856;0,45;423,67;;;;;
22-07-18 22.00;753;1.818;0,41;423,15;;;;;
22-07-18 23.00;754;1.749;0,43;393,86;;;;;
23-07-18 00.00;770;1.613;0,48;386,11;;;;;
23-07-18 01.00;787;1.547;0,51;374,11;;;;;
23-07-18 02.00;828;1.545;0,54;357,34;;;;;
23-07-18 03.00;833;1.536;0,54;351,01;;;;;
23-07-18 04.00;826;1.552;0,53;332,97;;;;;
23-07-18 05.00;818;1.595;0,51;353,62;;;;;
23-07-18 06.00;835;1.781;0,47;395,42;;;;;
23-07-18 07.00;854;2.010;0,42;439,32;;;;;
23-07-18 08.00;891;2.225;0,40;446,70;;;;;
23-07-18 09.00;856;2.317;0,37;440,06;;;;;
23-07-18 10.00;823;2.370;0,35;432,16;;;;;
23-07-18 11.00;849;2.360;0,36;432,09;;;;;
23-07-18 12.00;857;2.333;0,37;426,80;;;;;
23-07-18 13.00;863;2.339;0,37;423,74;;;;;
23-07-18 14.00;868;2.311;0,38;411,82;;;;;
23-07-18 15.00;905;2.271;0,40;411,37;;;;;
23-07-18 16.00;952;2.261;0,42;415,99;;;;;
23-07-18 17.00;1.010;2.387;0,42;431,57;;;;;
23-07-18 18.00;968;2.334;0,41;446,47;;;;;
23-07-18 19.00;853;2.213;0,39;457,95;;;;;
23-07-18 20.00;695;2.034;0,34;447,89;;;;;
23-07-18 21.00;538;1.944;0,28;439,84;;;;;
23-07-18 22.00;477;1.896;0,25;432,09;;;;;
23-07-18 23.00;459;1.829;0,25;402,06;;;;;
24-07-18 00.00;437;1.708;0,26;379,15;;;;;
24-07-18 01.00;409;1.623;0,25;353,74;;;;;
24-07-18 02.00;387;1.613;0,24;369,39;;;;;
24-07-18 03.00;343;1.619;0,21;365,74;;;;;
24-07-18 04.00;315;1.650;0,19;347,03;;;;;
24-07-18 05.00;282;1.691;0,17;353,37;;;;;
24-07-18 06.00;247;1.866;0,13;402,18;;;;;
24-07-18 07.00;212;2.074;0,10;451,81;;;;;
24-07-18 08.00;208;2.285;0,09;468,72;;;;;
24-07-18 09.00;194;2.390;0,08;456,95;;;;;
24-07-18 10.00;196;2.449;0,08;443,91;;;;;
24-07-18 11.00;201;2.448;0,08;435,64;;;;;
24-07-18 12.00;214;2.407;0,09;427,81;;;;;
24-07-18 13.00;231;2.401;0,10;412,54;;;;;
24-07-18 14.00;254;2.376;0,11;416,71;;;;;
24-07-18 15.00;284;2.335;0,12;429,75;;;;;
24-07-18 16.00;313;2.311;0,14;433,63;;;;;
24-07-18 17.00;274;2.401;0,11;460,97;;;;;
24-07-18 18.00;248;2.349;0,11;478,19;;;;;
24-07-18 19.00;221;2.236;0,10;488,17;;;;;
24-07-18 20.00;171;2.164;0,08;478,56;;;;;
24-07-18 21.00;123;2.094;0,06;476,10;;;;;
24-07-18 22.00;94;2.044;0,05;450,39;;;;;
24-07-18 23.00;88;1.936;0,05;409,18;;;;;
25-07-18 00.00;118;1.791;0,07;399,64;;;;;
25-07-18 01.00;130;1.683;0,08;377,44;;;;;
25-07-18 02.00;139;1.681;0,08;365,67;;;;;
25-07-18 03.00;160;1.663;0,10;374,83;;;;;
25-07-18 04.00;172;1.680;0,10;363,73;;;;;
25-07-18 05.00;171;1.716;0,10;370,96;;;;;
25-07-18 06.00;132;1.878;0,07;415,07;;;;;
25-07-18 07.00;100;2.083;0,05;469,08;;;;;
25-07-18 08.00;92;2.306;0,04;484,28;;;;;
25-07-18 09.00;89;2.433;0,04;484,80;;;;;
25-07-18 10.00;99;2.479;0,04;468,86;;;;;
25-07-18 11.00;130;2.486;0,05;457,68;;;;;
25-07-18 12.00;187;2.439;0,08;437,05;;;;;
25-07-18 13.00;251;2.419;0,10;419,24;;;;;
25-07-18 14.00;303;2.393;0,13;420,36;;;;;
25-07-18 15.00;346;2.349;0,15;431,76;;;;;
25-07-18 16.00;360;2.354;0,15;435,63;;;;;
25-07-18 17.00;403;2.420;0,17;457,46;;;;;
25-07-18 18.00;492;2.364;0,21;490,24;;;;;
25-07-18 19.00;528;2.291;0,23;498,44;;;;;
25-07-18 20.00;538;2.210;0,24;487,64;;;;;
25-07-18 21.00;542;2.142;0,25;479,59;;;;;
25-07-18 22.00;527;2.067;0,25;462,08;;;;;
25-07-18 23.00;535;1.930;0,28;405,53;;;;;
26-07-18 00.00;409;1.774;0,23;372,70;;;;;
26-07-18 01.00;375;1.672;0,22;360,63;;;;;
26-07-18 02.00;360;1.647;0,22;353,92;;;;;
26-07-18 03.00;353;1.648;0,21;359,88;;;;;
26-07-18 04.00;340;1.679;0,20;345,35;;;;;
26-07-18 05.00;333;1.703;0,20;352,73;;;;;
26-07-18 06.00;297;1.844;0,16;389,54;;;;;
26-07-18 07.00;245;2.105;0,12;452,80;;;;;
26-07-18 08.00;227;2.348;0,10;477,46;;;;;
26-07-18 09.00;216;2.449;0,09;469,11;;;;;
26-07-18 10.00;185;2.533;0,07;447,06;;;;;
26-07-18 11.00;147;2.545;0,06;444,60;;;;;
26-07-18 12.00;136;2.518;0,05;390,66;;;;;
26-07-18 13.00;134;2.536;0,05;407,50;;;;;
26-07-18 14.00;135;2.505;0,05;407,64;;;;;
26-07-18 15.00;153;2.397;0,06;421,95;;;;;
26-07-18 16.00;180;2.330;0,08;413,16;;;;;
26-07-18 17.00;211;2.397;0,09;429,10;;;;;
26-07-18 18.00;275;2.358;0,12;454,51;;;;;
26-07-18 19.00;331;2.291;0,14;461,59;;;;;
26-07-18 20.00;391;2.201;0,18;451,61;;;;;
26-07-18 21.00;510;2.139;0,24;445,57;;;;;
26-07-18 22.00;596;2.103;0,28;404,74;;;;;
26-07-18 23.00;705;1.939;0,36;351,39;;;;;
27-07-18 00.00;771;1.782;0,43;353,97;;;;;
27-07-18 01.00;782;1.728;0,45;374,53;;;;;
27-07-18 02.00;818;1.693;0,48;358,51;;;;;
27-07-18 03.00;830;1.684;0,49;355,90;;;;;
27-07-18 04.00;764;1.701;0,45;333,25;;;;;
27-07-18 05.00;730;1.732;0,42;350,39;;;;;
27-07-18 06.00;630;1.890;0,33;391,30;;;;;
27-07-18 07.00;496;2.092;0,24;453,90;;;;;
27-07-18 08.00;445;2.300;0,19;462,09;;;;;
27-07-18 09.00;424;2.363;0,18;455,24;;;;;
27-07-18 10.00;420;2.400;0,18;438,99;;;;;
27-07-18 11.00;441;2.394;0,18;435,71;;;;;
27-07-18 12.00;508;2.354;0,22;410,15;;;;;
27-07-18 13.00;632;2.383;0,27;387,65;;;;;
27-07-18 14.00;735;2.324;0,32;391,60;;;;;
27-07-18 15.00;819;2.266;0,36;376,77;;;;;
27-07-18 16.00;919;2.274;0,40;402,92;;;;;
27-07-18 17.00;1.049;2.333;0,45;432,36;;;;;
27-07-18 18.00;1.228;2.345;0,52;447,78;;;;;
27-07-18 19.00;1.299;2.237;0,58;456,13;;;;;
27-07-18 20.00;1.181;2.134;0,55;407,40;;;;;
27-07-18 21.00;1.067;2.068;0,52;406,20;;;;;
27-07-18 22.00;1.123;2.028;0,55;395,17;;;;;
27-07-18 23.00;1.257;1.916;0,66;378,93;;;;;
28-07-18 00.00;1.278;1.765;0,72;343,40;;;;;
28-07-18 01.00;1.286;1.658;0,78;329,62;;;;;
28-07-18 02.00;1.322;1.629;0,81;335,65;;;;;
28-07-18 03.00;1.376;1.628;0,85;321,05;;;;;
28-07-18 04.00;1.459;1.624;0,90;314,72;;;;;
28-07-18 05.00;1.509;1.599;0,94;331,26;;;;;
28-07-18 06.00;1.533;1.667;0,92;350,56;;;;;
28-07-18 07.00;1.507;1.804;0,84;371,42;;;;;
28-07-18 08.00;1.611;1.965;0,82;388,03;;;;;
28-07-18 09.00;1.773;2.090;0,85;395,48;;;;;
28-07-18 10.00;1.857;2.147;0,86;396,15;;;;;
28-07-18 11.00;1.932;2.161;0,89;388,70;;;;;
28-07-18 12.00;2.028;2.142;0,95;388,48;;;;;
28-07-18 13.00;2.094;2.116;0,99;382,59;;;;;
28-07-18 14.00;2.120;2.075;1,02;365,83;;;;;
28-07-18 15.00;2.103;2.065;1,02;377,15;;;;;
28-07-18 16.00;2.063;2.048;1,01;378,79;;;;;
28-07-18 17.00;1.994;2.156;0,92;379,09;;;;;
28-07-18 18.00;1.692;2.137;0,79;383,41;;;;;
28-07-18 19.00;1.396;2.000;0,70;393,99;;;;;
28-07-18 20.00;1.208;1.937;0,62;393,69;;;;;
28-07-18 21.00;1.088;1.881;0,58;395,56;;;;;
28-07-18 22.00;1.163;1.864;0,62;398,24;;;;;
28-07-18 23.00;1.227;1.735;0,71;376,93;;;;;
29-07-18 00.00;702;1.585;0,44;353,13;;;;;
29-07-18 01.00;722;1.515;0,48;348,21;;;;;
29-07-18 02.00;715;1.523;0,47;335,54;;;;;
29-07-18 03.00;721;1.472;0,49;328,17;;;;;
29-07-18 04.00;714;1.483;0,48;327,05;;;;;
29-07-18 05.00;678;1.448;0,47;327,94;;;;;
29-07-18 06.00;655;1.468;0,45;348,88;;;;;
29-07-18 07.00;599;1.598;0,37;358,19;;;;;
29-07-18 08.00;589;1.769;0,33;373,98;;;;;
29-07-18 09.00;580;1.863;0,31;381,06;;;;;
29-07-18 10.00;575;1.934;0,30;382,78;;;;;
29-07-18 11.00;593;1.952;0,30;381,81;;;;;
29-07-18 12.00;590;1.928;0,31;380,99;;;;;
29-07-18 13.00;565;1.906;0,30;380,84;;;;;
29-07-18 14.00;537;1.884;0,29;381,51;;;;;
29-07-18 15.00;505;1.885;0,27;382,85;;;;;
29-07-18 16.00;487;1.914;0,25;382,85;;;;;
29-07-18 17.00;478;2.068;0,23;373,84;;;;;
29-07-18 18.00;487;2.098;0,23;377,93;;;;;
29-07-18 19.00;531;1.990;0,27;415,41;;;;;
29-07-18 20.00;660;1.932;0,34;427,85;;;;;
29-07-18 21.00;835;1.882;0,44;431,65;;;;;
29-07-18 22.00;1.014;1.883;0,54;405,50;;;;;
29-07-18 23.00;1.167;1.806;0,65;395,07;;;;;
30-07-18 00.00;849;1.630;0,52;371,53;;;;;
30-07-18 01.00;864;1.528;0,57;347,02;;;;;
30-07-18 02.00;892;1.538;0,58;335,54;;;;;
30-07-18 03.00;875;1.564;0,56;337,85;;;;;
30-07-18 04.00;925;1.588;0,58;333,83;;;;;
30-07-18 05.00;923;1.639;0,56;335,54;;;;;
30-07-18 06.00;889;1.823;0,49;391,57;;;;;
30-07-18 07.00;831;2.143;0,39;441,11;;;;;
30-07-18 08.00;765;2.327;0,33;454,37;;;;;
30-07-18 09.00;615;2.439;0,25;455,04;;;;;
30-07-18 10.00;483;2.532;0,19;427,33;;;;;
30-07-18 11.00;414;2.557;0,16;425,09;;;;;
30-07-18 12.00;395;2.518;0,16;416,52;;;;;
30-07-18 13.00;374;2.544;0,15;405,80;;;;;
30-07-18 14.00;365;2.462;0,15;401,55;;;;;
30-07-18 15.00;361;2.404;0,15;406,32;;;;;
30-07-18 16.00;361;2.365;0,15;416,75;;;;;
30-07-18 17.00;335;2.473;0,14;457,80;;;;;
30-07-18 18.00;326;2.392;0,14;467,85;;;;;
30-07-18 19.00;300;2.313;0,13;481,49;;;;;
30-07-18 20.00;265;2.224;0,12;472,77;;;;;
30-07-18 21.00;316;2.187;0,14;462,34;;;;;
30-07-18 22.00;413;2.116;0,20;449,75;;;;;
30-07-18 23.00;474;1.941;0,24;383,37;;;;;
31-07-18 00.00;661;1.785;0,37;350,31;;;;;
31-07-18 01.00;744;1.709;0,44;342,56;;;;;
31-07-18 02.00;827;1.687;0,49;373,93;;;;;
31-07-18 03.00;935;1.722;0,54;370,13;;;;;
31-07-18 04.00;917;1.694;0,54;338,02;;;;;
31-07-18 05.00;846;1.773;0,48;343,24;;;;;
31-07-18 06.00;826;1.997;0,41;386,75;;;;;
31-07-18 07.00;805;2.240;0,36;465,49;;;;;
31-07-18 08.00;836;2.424;0,34;490,01;;;;;
31-07-18 09.00;799;2.522;0,32;490,97;;;;;
31-07-18 10.00;790;2.585;0,31;462,14;;;;;
31-07-18 11.00;858;2.574;0,33;452,46;;;;;
31-07-18 12.00;1.028;2.496;0,41;422,06;;;;;
31-07-18 13.00;1.202;2.476;0,49;405,74;;;;;
31-07-18 14.00;1.296;2.438;0,53;393,90;;;;;
31-07-18 15.00;1.357;2.341;0,58;395,61;;;;;
31-07-18 16.00;1.146;2.332;0,49;402,47;;;;;
31-07-18 17.00;847;2.491;0,34;454,54;;;;;
31-07-18 18.00;593;2.421;0,24;484,72;;;;;
31-07-18 19.00;447;2.288;0,20;491,42;;;;;
31-07-18 20.00;406;2.221;0,18;486,65;;;;;
31-07-18 21.00;379;2.166;0,17;486,65;;;;;
31-07-18 22.00;365;2.124;0,17;474,44;;;;;
31-07-18 23.00;321;1.971;0,16;394,34;;;;;
01-08-18 00.00;279;1.812;0,15;351,11;;;;;
01-08-18 01.00;273;1.721;0,16;369,81;;;;;
01-08-18 02.00;225;1.685;0,13;365,56;;;;;
01-08-18 03.00;202;1.720;0,12;362,36;;;;;
01-08-18 04.00;165;1.723;0,10;357,14;;;;;
01-08-18 05.00;128;1.772;0,07;371,75;;;;;
01-08-18 06.00;110;1.988;0,06;368,02;;;;;
01-08-18 07.00;91;2.216;0,04;438,27;;;;;
01-08-18 08.00;74;2.402;0,03;450,86;;;;;
01-08-18 09.00;72;2.489;0,03;461,89;;;;;
01-08-18 10.00;77;2.581;0,03;450,19;;;;;
01-08-18 11.00;79;2.589;0,03;440,28;;;;;
01-08-18 12.00;82;2.510;0,03;433,73;;;;;
01-08-18 13.00;90;2.470;0,04;430,60;;;;;
01-08-18 14.00;119;2.419;0,05;432,01;;;;;
01-08-18 15.00;154;2.317;0,07;432,09;;;;;
01-08-18 16.00;184;2.288;0,08;433,88;;;;;
01-08-18 17.00;190;2.414;0,08;469,56;;;;;
01-08-18 18.00;184;2.393;0,08;484,24;;;;;
01-08-18 19.00;168;2.323;0,07;490,72;;;;;
01-08-18 20.00;137;2.235;0,06;476,79;;;;;
01-08-18 21.00;112;2.158;0,05;473,73;;;;;
01-08-18 22.00;98;2.107;0,05;465,91;;;;;
01-08-18 23.00;83;2.009;0,04;400,58;;;;;
02-08-18 00.00;71;1.822;0,04;355,93;;;;;
02-08-18 01.00;64;1.717;0,04;372,85;;;;;
02-08-18 02.00;58;1.683;0,03;369,42;;;;;
02-08-18 03.00;59;1.701;0,03;367,04;;;;;
02-08-18 04.00;52;1.726;0,03;361,90;;;;;
02-08-18 05.00;44;1.794;0,02;348,78;;;;;
02-08-18 06.00;38;1.983;0,02;395,35;;;;;
02-08-18 07.00;36;2.237;0,02;463,53;;;;;
02-08-18 08.00;37;2.427;0,02;481,78;;;;;
02-08-18 09.00;51;2.541;0,02;489,53;;;;;
02-08-18 10.00;74;2.627;0,03;489,53;;;;;
02-08-18 11.00;96;2.624;0,04;484,24;;;;;
02-08-18 12.00;133;2.567;0,05;477,98;;;;;
02-08-18 13.00;174;2.574;0,07;468,30;;;;;
02-08-18 14.00;201;2.514;0,08;455,11;;;;;
02-08-18 15.00;227;2.448;0,09;461,51;;;;;
02-08-18 16.00;254;2.425;0,10;469,93;;;;;
02-08-18 17.00;270;2.514;0,11;494,90;;;;;
02-08-18 18.00;266;2.437;0,11;506,52;;;;;
02-08-18 19.00;234;2.352;0,10;517,17;;;;;
02-08-18 20.00;177;2.257;0,08;504,58;;;;;
02-08-18 21.00;125;2.196;0,06;499,96;;;;;
02-08-18 22.00;114;2.156;0,05;487,59;;;;;
02-08-18 23.00;121;2.035;0,06;417,33;;;;;
03-08-18 00.00;96;1.820;0,05;390,24;;;;;
03-08-18 01.00;110;1.701;0,06;381,07;;;;;
03-08-18 02.00;112;1.684;0,07;374,74;;;;;
03-08-18 03.00;112;1.694;0,07;369,15;;;;;
03-08-18 04.00;125;1.726;0,07;361,17;;;;;
03-08-18 05.00;139;1.797;0,08;372,43;;;;;
03-08-18 06.00;145;1.982;0,07;437,40;;;;;
03-08-18 07.00;143;2.196;0,07;511,17;;;;;
03-08-18 08.00;156;2.364;0,07;521,46;;;;;
03-08-18 09.00;171;2.507;0,07;523,54;;;;;
03-08-18 10.00;180;2.590;0,07;525,03;;;;;
03-08-18 11.00;210;2.580;0,08;521,61;;;;;
03-08-18 12.00;258;2.500;0,10;491,28;;;;;
03-08-18 13.00;306;2.442;0,13;468,85;;;;;
03-08-18 14.00;354;2.392;0,15;449,92;;;;;
03-08-18 15.00;420;2.310;0,18;455,21;;;;;
03-08-18 16.00;507;2.294;0,22;491,20;;;;;
03-08-18 17.00;541;2.414;0,22;519,52;;;;;
03-08-18 18.00;521;2.392;0,22;525,41;;;;;
03-08-18 19.00;457;2.264;0,20;562,51;;;;;
03-08-18 20.00;391;2.172;0,18;524,21;;;;;
03-08-18 21.00;375;2.100;0,18;521,68;;;;;
03-08-18 22.00;439;2.028;0,22;499,10;;;;;
03-08-18 23.00;485;1.909;0,25;436,73;;;;;
04-08-18 00.00;398;1.707;0,23;404,97;;;;;
04-08-18 01.00;427;1.621;0,26;373,57;;;;;
04-08-18 02.00;443;1.579;0,28;362,18;;;;;
04-08-18 03.00;465;1.563;0,30;358,99;;;;;
04-08-18 04.00;440;1.586;0,28;353,55;;;;;
04-08-18 05.00;388;1.574;0,25;353,41;;;;;
04-08-18 06.00;387;1.649;0,23;362,33;;;;;
04-08-18 07.00;403;1.792;0,22;374,44;;;;;
04-08-18 08.00;445;1.965;0,23;398,08;;;;;
04-08-18 09.00;505;2.068;0,24;409,47;;;;;
04-08-18 10.00;567;2.107;0,27;390,11;;;;;
04-08-18 11.00;651;2.092;0,31;374,80;;;;;
04-08-18 12.00;780;2.080;0,38;370,67;;;;;
04-08-18 13.00;913;2.040;0,45;372,99;;;;;
04-08-18 14.00;1.084;2.062;0,53;371,61;;;;;
04-08-18 15.00;1.291;2.088;0,62;370,45;;;;;
04-08-18 16.00;1.502;2.120;0,71;365,09;;;;;
04-08-18 17.00;1.669;2.174;0,77;360,44;;;;;
04-08-18 18.00;1.873;2.139;0,88;382,64;;;;;
04-08-18 19.00;2.003;2.055;0,97;405,92;;;;;
04-08-18 20.00;2.037;1.927;1,06;383,87;;;;;
04-08-18 21.00;2.056;1.925;1,07;383,80;;;;;
04-08-18 22.00;2.110;1.858;1,14;377,78;;;;;
04-08-18 23.00;2.244;1.750;1,28;359,21;;;;;
05-08-18 00.00;2.319;1.646;1,41;377,20;;;;;
05-08-18 01.00;2.425;1.556;1,56;371,76;;;;;
05-08-18 02.00;2.502;1.527;1,64;368,25;;;;;
05-08-18 03.00;2.607;1.523;1,71;356,70;;;;;
05-08-18 04.00;2.646;1.538;1,72;343,36;;;;;
05-08-18 05.00;2.589;1.511;1,71;335,91;;;;;
05-08-18 06.00;2.496;1.545;1,62;340,45;;;;;
05-08-18 07.00;2.400;1.668;1,44;353,57;;;;;
05-08-18 08.00;2.439;1.819;1,34;368,48;;;;;
05-08-18 09.00;2.447;1.957;1,25;371,01;;;;;
05-08-18 10.00;2.337;2.028;1,15;343,51;;;;;
05-08-18 11.00;2.292;2.075;1,10;339,86;;;;;
05-08-18 12.00;2.318;2.091;1,11;335,68;;;;;
05-08-18 13.00;2.372;2.015;1,18;324,50;;;;;
05-08-18 14.00;2.429;2.027;1,20;267,19;;;;;
05-08-18 15.00;2.461;2.051;1,20;324,35;;;;;
05-08-18 16.00;2.479;2.096;1,18;330,99;;;;;
05-08-18 17.00;2.432;2.227;1,09;365,20;;;;;
05-08-18 18.00;2.281;2.200;1,04;389,20;;;;;
05-08-18 19.00;2.025;2.107;0,96;390,46;;;;;
05-08-18 20.00;1.718;2.004;0,86;394,34;;;;;
05-08-18 21.00;1.446;1.983;0,73;398,14;;;;;
05-08-18 22.00;1.302;1.946;0,67;394,79;;;;;
05-08-18 23.00;1.220;1.761;0,69;383,90;;;;;
06-08-18 00.00;1.247;1.679;0,74;373,02;;;;;
06-08-18 01.00;1.146;1.600;0,72;357,67;;;;;
06-08-18 02.00;1.057;1.599;0,66;350,44;;;;;
06-08-18 03.00;968;1.624;0,60;342,99;;;;;
06-08-18 04.00;872;1.662;0,52;335,98;;;;;
06-08-18 05.00;799;1.761;0,45;351,04;;;;;
06-08-18 06.00;718;1.999;0,36;405,29;;;;;
06-08-18 07.00;654;2.367;0,28;484,00;;;;;
06-08-18 08.00;637;2.563;0,25;506,88;;;;;
06-08-18 09.00;602;2.630;0,23;509,34;;;;;
06-08-18 10.00;593;2.743;0,22;491,45;;;;;
06-08-18 11.00;621;2.776;0,22;480,35;;;;;
06-08-18 12.00;707;2.755;0,26;464,77;;;;;
06-08-18 13.00;787;2.815;0,28;445,09;;;;;
06-08-18 14.00;799;2.787;0,29;450,31;;;;;
06-08-18 15.00;849;2.683;0,32;469,99;;;;;
06-08-18 16.00;931;2.605;0,36;499,28;;;;;
06-08-18 17.00;872;2.683;0,33;534,45;;;;;
06-08-18 18.00;734;2.604;0,28;569,56;;;;;
06-08-18 19.00;571;2.451;0,23;640,66;;;;;
06-08-18 20.00;401;2.353;0,17;590,20;;;;;
06-08-18 21.00;281;2.285;0,12;557,63;;;;;
06-08-18 22.00;205;2.210;0,09;533,71;;;;;
06-08-18 23.00;156;2.063;0,08;469,91;;;;;
07-08-18 00.00;159;1.890;0,08;433,06;;;;;
07-08-18 01.00;128;1.804;0,07;390,65;;;;;
07-08-18 02.00;105;1.789;0,06;380,15;;;;;
07-08-18 03.00;90;1.804;0,05;370,76;;;;;
07-08-18 04.00;78;1.838;0,04;369,12;;;;;
07-08-18 05.00;83;1.919;0,04;383,87;;;;;
07-08-18 06.00;92;2.130;0,04;432,16;;;;;
07-08-18 07.00;97;2.480;0,04;513,10;;;;;
07-08-18 08.00;100;2.659;0,04;534,56;;;;;
07-08-18 09.00;108;2.744;0,04;526,74;;;;;
07-08-18 10.00;122;2.860;0,04;514,22;;;;;
07-08-18 11.00;158;2.839;0,06;506,32;;;;;
07-08-18 12.00;231;2.772;0,08;498,71;;;;;
07-08-18 13.00;254;2.798;0,09;490,00;;;;;
07-08-18 14.00;277;2.746;0,10;492,68;;;;;
07-08-18 15.00;306;2.605;0,12;499,24;;;;;
07-08-18 16.00;336;2.561;0,13;515,11;;;;;
07-08-18 17.00;374;2.665;0,14;540,97;;;;;
07-08-18 18.00;388;2.595;0,15;580,32;;;;;
07-08-18 19.00;411;2.522;0,16;595,89;;;;;
07-08-18 20.00;445;2.427;0,18;583,37;;;;;
07-08-18 21.00;574;2.373;0,24;523,16;;;;;
07-08-18 22.00;708;2.323;0,30;498,64;;;;;
07-08-18 23.00;828;2.120;0,39;395,28;;;;;
08-08-18 00.00;792;1.924;0,41;356,01;;;;;
08-08-18 01.00;845;1.814;0,47;345,87;;;;;
08-08-18 02.00;875;1.797;0,49;339,01;;;;;
08-08-18 03.00;898;1.825;0,49;327,16;;;;;
08-08-18 04.00;819;1.882;0,44;327,16;;;;;
08-08-18 05.00;768;1.970;0,39;347,73;;;;;
08-08-18 06.00;745;2.188;0,34;381,20;;;;;
08-08-18 07.00;679;2.555;0,27;437,54;;;;;
