HourDK;WP Prognosis (MWh);Cons. Prognosis (MWh);WP Penetration (MWh);Day-Ahead price (DKK);;;;;
04-01-18 21.00;288;2.507;0,11;276,10;;;;;
04-01-18 22.00;280;2.330;0,12;241,86;;;;;
04-01-18 23.00;259;2.146;0,12;208,80;;;;;
05-01-18 00.00;198;1.996;0,10;44,37;;;;;
05-01-18 01.00;225;1.929;0,12;-7,00;;;;;
05-01-18 02.00;238;1.927;0,12;197,29;;;;;
05-01-18 03.00;233;1.917;0,12;197,29;;;;;
05-01-18 04.00;212;1.966;0,11;200,12;;;;;
05-01-18 05.00;194;2.126;0,09;205,93;;;;;
05-01-18 06.00;211;2.549;0,08;185,98;;;;;
05-01-18 07.00;164;2.967;0,06;226,63;;;;;
05-01-18 08.00;157;3.083;0,05;269,51;;;;;
05-01-18 09.00;156;3.037;0,05;270,25;;;;;
05-01-18 10.00;143;3.085;0,05;289,98;;;;;
05-01-18 11.00;123;3.061;0,04;293,33;;;;;
05-01-18 12.00;118;2.926;0,04;310,38;;;;;
05-01-18 13.00;111;2.861;0,04;315,74;;;;;
05-01-18 14.00;104;2.779;0,04;315,52;;;;;
05-01-18 15.00;132;2.688;0,05;350,66;;;;;
05-01-18 16.00;160;2.805;0,06;355,65;;;;;
05-01-18 17.00;189;3.021;0,06;419,53;;;;;
05-01-18 18.00;196;2.902;0,07;427,49;;;;;
05-01-18 19.00;196;2.653;0,07;401,43;;;;;
05-01-18 20.00;215;2.490;0,09;315,37;;;;;
05-01-18 21.00;213;2.338;0,09;297,06;;;;;
05-01-18 22.00;188;2.199;0,09;267,87;;;;;
05-01-18 23.00;176;2.077;0,08;262,36;;;;;
06-01-18 00.00;105;1.943;0,05;219,28;;;;;
06-01-18 01.00;100;1.830;0,05;212,58;;;;;
06-01-18 02.00;89;1.769;0,05;209,83;;;;;
06-01-18 03.00;98;1.783;0,05;208,49;;;;;
06-01-18 04.00;110;1.822;0,06;201,64;;;;;
06-01-18 05.00;125;1.880;0,07;213,70;;;;;
06-01-18 06.00;160;2.000;0,08;223,38;;;;;
06-01-18 07.00;191;2.154;0,09;233,51;;;;;
06-01-18 08.00;219;2.340;0,09;254,58;;;;;
06-01-18 09.00;268;2.437;0,11;306,11;;;;;
06-01-18 10.00;327;2.507;0,13;321,37;;;;;
06-01-18 11.00;385;2.467;0,16;321,44;;;;;
06-01-18 12.00;455;2.409;0,19;321,22;;;;;
06-01-18 13.00;502;2.372;0,21;297,54;;;;;
06-01-18 14.00;518;2.358;0,22;268,35;;;;;
06-01-18 15.00;585;2.390;0,24;259,94;;;;;
06-01-18 16.00;637;2.546;0,25;301,71;;;;;
06-01-18 17.00;719;2.805;0,26;326,95;;;;;
06-01-18 18.00;818;2.724;0,30;326,66;;;;;
06-01-18 19.00;928;2.551;0,36;261,28;;;;;
06-01-18 20.00;978;2.384;0,41;231,27;;;;;
06-01-18 21.00;959;2.264;0,42;228,74;;;;;
06-01-18 22.00;951;2.142;0,44;223,23;;;;;
06-01-18 23.00;885;2.026;0,44;216,16;;;;;
07-01-18 00.00;397;1.916;0,21;162,87;;;;;
07-01-18 01.00;318;1.834;0,17;119,00;;;;;
07-01-18 02.00;269;1.809;0,15;119,08;;;;;
07-01-18 03.00;223;1.829;0,12;194,81;;;;;
07-01-18 04.00;208;1.863;0,11;198,09;;;;;
07-01-18 05.00;214;1.898;0,11;202,11;;;;;
07-01-18 06.00;243;1.992;0,12;204,27;;;;;
07-01-18 07.00;254;2.151;0,12;206,21;;;;;
07-01-18 08.00;267;2.331;0,11;207,99;;;;;
07-01-18 09.00;286;2.447;0,12;210,97;;;;;
07-01-18 10.00;340;2.480;0,14;214,40;;;;;
07-01-18 11.00;409;2.454;0,17;215,59;;;;;
07-01-18 12.00;425;2.378;0,18;215,67;;;;;
07-01-18 13.00;476;2.300;0,21;210,53;;;;;
07-01-18 14.00;558;2.289;0,24;210,68;;;;;
07-01-18 15.00;657;2.323;0,28;199,21;;;;;
07-01-18 16.00;749;2.545;0,29;202,63;;;;;
07-01-18 17.00;809;2.875;0,28;229,96;;;;;
07-01-18 18.00;886;2.796;0,32;255,73;;;;;
07-01-18 19.00;910;2.628;0,35;240,76;;;;;
07-01-18 20.00;844;2.462;0,34;223,11;;;;;
07-01-18 21.00;783;2.342;0,33;215,52;;;;;
07-01-18 22.00;811;2.210;0,37;221,10;;;;;
07-01-18 23.00;805;2.106;0,38;201,14;;;;;
08-01-18 00.00;836;1.944;0,43;140,82;;;;;
08-01-18 01.00;800;1.905;0,42;112,82;;;;;
08-01-18 02.00;711;1.905;0,37;178,13;;;;;
08-01-18 03.00;579;1.964;0,29;189,75;;;;;
08-01-18 04.00;470;2.006;0,23;171,95;;;;;
08-01-18 05.00;364;2.160;0,17;127,34;;;;;
08-01-18 06.00;305;2.584;0,12;223,63;;;;;
08-01-18 07.00;198;3.023;0,07;319,70;;;;;
08-01-18 08.00;141;3.183;0,04;334,74;;;;;
08-01-18 09.00;109;3.150;0,03;317,02;;;;;
08-01-18 10.00;102;3.183;0,03;312,63;;;;;
08-01-18 11.00;113;3.123;0,04;309,35;;;;;
08-01-18 12.00;98;3.006;0,03;319,48;;;;;
08-01-18 13.00;101;3.013;0,03;319,48;;;;;
08-01-18 14.00;158;2.978;0,05;304,66;;;;;
08-01-18 15.00;243;2.929;0,08;305,10;;;;;
08-01-18 16.00;348;3.076;0,11;295,57;;;;;
08-01-18 17.00;476;3.324;0,14;299,82;;;;;
08-01-18 18.00;693;3.157;0,22;282,91;;;;;
08-01-18 19.00;875;2.927;0,30;237,71;;;;;
08-01-18 20.00;985;2.751;0,36;208,66;;;;;
08-01-18 21.00;1.088;2.576;0,42;184,54;;;;;
08-01-18 22.00;1.165;2.389;0,49;212,17;;;;;
08-01-18 23.00;1.218;2.220;0,55;209,19;;;;;
09-01-18 00.00;1.479;2.097;0,71;202,32;;;;;
09-01-18 01.00;1.642;2.012;0,82;164,57;;;;;
09-01-18 02.00;1.667;1.991;0,84;72,90;;;;;
09-01-18 03.00;1.815;2.043;0,89;37,16;;;;;
09-01-18 04.00;2.007;2.090;0,96;68,81;;;;;
09-01-18 05.00;2.272;2.219;1,02;109,17;;;;;
09-01-18 06.00;2.478;2.582;0,96;209,77;;;;;
09-01-18 07.00;2.696;2.999;0,90;240,97;;;;;
09-01-18 08.00;2.851;3.160;0,90;242,23;;;;;
09-01-18 09.00;2.947;3.084;0,96;240,22;;;;;
09-01-18 10.00;3.012;3.099;0,97;239,26;;;;;
09-01-18 11.00;3.076;3.055;1,01;240,67;;;;;
09-01-18 12.00;3.144;2.927;1,07;238,59;;;;;
09-01-18 13.00;3.182;2.943;1,08;236,80;;;;;
09-01-18 14.00;3.323;2.894;1,15;234,34;;;;;
